id,category,title,url,final_url,filename,saved_path,status,bytes,content_type,use,note,error
"PROD-002","products","中国银行个人无抵质押消费贷款","https://www.boc.cn/pbservice/pb2/202409/t20240929_25163936.html","https://www.boc.cn/pbservice/pb2/202409/t20240929_25163936.html","PROD-002_BOC_unsecured_consumption_loan.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-002_BOC_unsecured_consumption_loan.html","ok","28338","text/html","额度100万、期限5年、LPR定价、等额本金/等额本息","",""
"PROD-003","products","工商银行个人信用贷款（融e借）","https://www.icbc.com.cn/page/721852326163021860.html","https://www.icbc.com.cn/page/721852326163021860.html","PROD-003_ICBC_Rongejie_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-003_ICBC_Rongejie_product.html","ok","37242","text/html","额度最高500万、期限7年、等额本息/等额本金/按期付息一次性还本","",""
"PROD-004","products","交通银行惠民贷产品页","https://m.bankcomm.com/wap/shtml/wap/cn/15421/15429/15510/15522/list.shtml?channelId=15421","https://m.bankcomm.com/wap/shtml/wap/cn/15421/15429/15510/15522/list.shtml?channelId=15421","PROD-004_BOCOM_Huiminloan_product_mobile.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-004_BOCOM_Huiminloan_product_mobile.html","ok","20559","","额度30/100万、最长84个月、申请额度无费用、不提款不计息、用途","",""
"PROD-005","products","建设银行个人消费贷款产品页","https://www.ccb.com/cn/personal/credit/consumeloan.html","https://www.ccb.com/cn/personal/credit/consumeloan.html","PROD-005_CCB_personal_consumption_loan_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-005_CCB_personal_consumption_loan_product.html","ok","34415","","额度200万、期限5年、等额本息/等额本金/到期一次还本付息/按期付息任意还本","",""
"PROD-006","products","建设银行快贷说明页","https://www.ccb.com/cn/html1/branch/xm/subject/16/0620wasr/kuaidai/xm_ccb_index.htm","https://www.ccb.com/cn/html1/branch/xm/subject/16/0620wasr/kuaidai/xm_ccb_index.htm","PROD-006_CCB_Kuaidai_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-006_CCB_Kuaidai_product.html","ok","15139","","随借随还、按天计息、提前还贷不收违约金样例","",""
"PROD-007","products","农业银行个人综合消费贷款","https://www.abchina.com/cn/personalservices/loans/ConsumptiveLoans/201407/t20140708_790149.htm","https://www.abchina.com/cn/personalservices/loans/ConsumptiveLoans/201407/t20140708_790149.htm","PROD-007_ABC_personal_comprehensive_consumption_loan.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-007_ABC_personal_comprehensive_consumption_loan.html","ok","73200","text/html","额度300万、期限7年、LPR定价、合同外不收费用、罚息/复利","",""
"PROD-008","products","农业银行网捷贷","https://www.abchina.com/cn/personalservices/loans/consumptiveloans/201611/t20161115_946633.htm","https://www.abchina.com/cn/personalservices/loans/consumptiveloans/201611/t20161115_946633.htm","PROD-008_ABC_Wangjiedai_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-008_ABC_Wangjiedai_product.html","ok","73568","text/html","额度100万、期限5年、LPR定价、按月结息到期还本/等额本息","",""
"PROD-009","products","兴业银行兴闪贷产品页","https://www.cib.com.cn/cn/personal/loanServer/loans/","https://www.cib.com.cn/cn/personal/loanServer/loans/","PROD-009_CIB_Xingshandai_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-009_CIB_Xingshandai_product.html","ok","5148","text/html","兴闪贷额度、期限、年利率单利、按日计息、提前还款、用途限制","",""
"PROD-010","products","邮储银行个人综合类消费贷款/邮享贷介绍","https://www.psbc.com/cn/fhpd/hndq/gxzzzzqfh/zdtj_1207/202104/t20210427_94490.html","https://www.psbc.com/cn/fhpd/hndq/gxzzzzqfh/zdtj_1207/202104/t20210427_94490.html","PROD-010_PSBC_Youxiangdai_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-010_PSBC_Youxiangdai_product.html","ok","39891","text/html","邮享贷产品、还款方式、循环额度","",""
"PROD-011","products","马上消费金融业务定价、收费项目及服务内容公告","https://www.msxf.com/noticeDetail/151124","https://www.msxf.com/noticeDetail/151124","PROD-011_MSXF_pricing_and_fee_notice.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-011_MSXF_pricing_and_fee_notice.html","ok","30433","text/html; charset=utf-8","利率7.2%-24%、提前还款手续费、本金余额*4%上限200、逾期罚息","",""
